name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Czech Republic,CZE,CZK,52.1,21.50115,13458.775,322437.47,2007-01-01
Denmark,DNK,DKK,27.75,5.75305,48998.314,293838.476,2007-01-01
Egypt,EGY,EGP,9.09,5.7,1331.362,8008.765,2007-01-01
Euro area,EUZ,EUR,2.94,0.771813376,33259.7521049953,26719.4267628036,2007-01-01
Britain,GBR,GBP,1.94,0.506034461,42279.458,23227.6,2007-01-01
Hong Kong,HKG,HKD,12,7.79845,26551.769,206517.447,2007-01-01
Hungary,HUN,HUF,590,194.4237,11200.063,2235336.601,2007-01-01
Indonesia,IDN,IDR,15900,9090,1404.348,13628832.87,2007-01-01
Japan,JPN,JPY,280,121.585,38164.951,4206472.697,2007-01-01
South Korea,KOR,KRW,2900,940.15,20162.881,20653410.12,2007-01-01
Sri Lanka,LKA,LKR,190,102.955,1477.595,148459.868,2007-01-01
Mexico,MEX,MXN,29,10.8894,8626.151,94006.861,2007-01-01
Malaysia,MYS,MYR,5.5,3.502,5678.332,21504.443,2007-01-01
Norway,NOR,NOK,41.5,6.1023,67234.767,433159.988,2007-01-01
New Zealand,NZL,NZD,4.6,1.42796,27385.166,38879.594,2007-01-01
Pakistan,PAK,PKR,140,60.055,948.828,56320.125,2007-01-01
Peru,PER,PEN,9.5,3.1895,2671.322,8825.157,2007-01-01
Philippines,PHL,PHP,85,49.05,1261.241,69476.107,2007-01-01
Poland,POL,PLN,6.9,2.97175,8046.3,26020.26,2007-01-01
Russia,RUS,RUB,49,26.5335,5655.11,160126.132,2007-01-01
Saudi Arabia,SAU,SAR,9,3.749,15943.431,59787.867,2007-01-01
Singapore,SGP,SGD,3.6,1.53795,29961.308,49867.527,2007-01-01
Sweden,SWE,SEK,32,7.04125,43291.313,323519.809,2007-01-01
Thailand,THA,THB,62,35.3,2867.704,115339.421,2007-01-01
Turkey,TUR,TRY,4.55,1.40975,7405.476,9979.722,2007-01-01
Taiwan,TWN,TWD,75,32.9255,16427.459,528611.003,2007-01-01
Ukraine,UKR,UAH,9,5.05,1909.798,9782.52,2007-01-01
Uruguay,URY,UYU,55,23.925,5663.5,138315.873,2007-01-01
United States,USA,USD,2.89,1,44034.256,44034.256,2007-01-01
Venezuela,VEN,VEF,6800,4125.278,5421.656,,2007-01-01
South Africa,ZAF,ZAR,15.5,7.10975,6007.979,38222.259,2007-01-01
UAE,ARE,AED,10,3.67285,45239.607,166142.458,2007-06-01
Argentina,ARG,ARS,8.25,3.0915,5976.082,18370.363,2007-06-01
Australia,AUS,AUD,3.45,1.17,38049.787,50507.411,2007-06-01
Brazil,BRA,BRL,6.9,1.913,5906.244,12848,2007-06-01
Canada,CAN,CAD,3.88,1.05345,40559.017,46007.907,2007-06-01
Switzerland,CHE,CHF,6.3,1.2112,60128.668,75391.929,2007-06-01
Chile,CHL,CLP,1565,526.75,9405.301,4987396.203,2007-06-01
China,CHN,CNY,11,7.6047,2129.192,16967.691,2007-06-01
Colombia,COL,COP,6900,1956,3836.683,9049181.883,2007-06-01
Costa Rica,CRI,CRC,1130,518.625,5309.271,2714244.824,2007-06-01
Czech Republic,CZE,CZK,52.9,21.11675,15281.951,345304.975,2007-06-01
Denmark,DNK,DKK,27.75,5.4603,52213.64,310502.944,2007-06-01
Egypt,EGY,EGP,9.54,5.69025,1563.739,8995.797,2007-06-01
Euro area,EUZ,EUR,3.057482443,0.733756466,35129.5364828728,27976.8273271361,2007-06-01
Britain,GBR,GBP,1.99,0.496610632,44772.7,24299.735,2007-06-01
Hong Kong,HKG,HKD,12,7.81555,28028.157,217741.408,2007-06-01
Hungary,HUN,HUF,600,180.2106,11472.076,2413610.102,2007-06-01
Indonesia,IDN,IDR,15900,9015,1765.794,16173465.63,2007-06-01
Japan,JPN,JPY,280,122.315,36385.087,4231560.613,2007-06-01
South Korea,KOR,KRW,2900,922.5,22596.681,21587532.44,2007-06-01
Sri Lanka,LKA,LKR,210,111.4,1698.156,176506.335,2007-06-01
Mexico,MEX,MXN,29,10.76755,9456.912,103073.172,2007-06-01
Malaysia,MYS,MYR,5.5,3.4345,6351.128,23297.244,2007-06-01
Norway,NOR,NOK,40,5.8139,74867.635,480151.1,2007-06-01
New Zealand,NZL,NZD,4.6,1.2797,26220.849,40370.822,2007-06-01
Pakistan,PAK,PKR,140,60.37,1032.277,61788.604,2007-06-01
Peru,PER,PEN,9.5,3.167,3138.259,10249.293,2007-06-01
Philippines,PHL,PHP,85,45.8975,1470.825,75474.329,2007-06-01
Poland,POL,PLN,6.9,2.75185,9065.1,28130.441,2007-06-01
Russia,RUS,RUB,52,25.64825,7362.107,200138.584,2007-06-01
Saudi Arabia,SAU,SAR,9,3.75045,17827.397,66852.737,2007-06-01
Singapore,SGP,SGD,3.95,1.52375,33768.446,53655.809,2007-06-01
Sweden,SWE,SEK,33,6.79165,46363.839,342083.955,2007-06-01
Thailand,THA,THB,62,34.455,3331.32,126197.024,2007-06-01
Turkey,TUR,TRY,4.75,1.2981,8007.819,11537.046,2007-06-01
Taiwan,TWN,TWD,75,32.7705,16892.883,549584.603,2007-06-01
Ukraine,UKR,UAH,9.25,5.0275,2407.9,12159.894,2007-06-01
Uruguay,URY,UYU,62,23.945,6377.451,153133.759,2007-06-01
United States,USA,USD,3,1,46216.853,46216.853,2007-06-01
Venezuela,VEN,VEF,7400,2147.3,6646.803,,2007-06-01
South Africa,ZAF,ZAR,15.5,6.971,6250.883,42300.769,2007-06-01
UAE,ARE,AED,10,3.67285,46090.439,169267.138,2008-06-01
Argentina,ARG,ARS,11,3.0195,7315.726,22791.226,2008-06-01
Australia,AUS,AUD,3.45,1.026,45295.817,54016.153,2008-06-01
Brazil,BRA,BRL,7.5,1.5846,7374.237,14358.069,2008-06-01
Canada,CAN,CAD,4.09,1.00355,44717.074,48028.178,2008-06-01
Switzerland,CHE,CHF,6.5,1.02215,66499.503,79823.732,2008-06-01
Chile,CHL,CLP,1550,494.65,10447.793,5458632.126,2008-06-01
China,CHN,CNY,12.5,6.834,2734.911,20798,2008-06-01
Colombia,COL,COP,7000,1798.65,4834.374,10044914.32,2008-06-01
Costa Rica,CRI,CRC,1800,551.02,6194.045,3199955.027,2008-06-01
Czech Republic,CZE,CZK,66.08,14.49795,18513.803,376101.167,2008-06-01
