date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2003-04-01,CHL,CLP,Chile,1400,716,1.95530726256983,-0.20516,-0.34408,-0.37812,-0.10444,0.63535,5414.67397431429,1.88030390412259,0.16669,-0.18556,-0.20407,0.33116,0.56399
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.51396,-0.59891,-0.61973,-0.45237,0,2380.28034545455,1.79825206453665,-0.25403,-0.47925,-0.49109,-0.14887,0
2003-04-01,CZE,CZK,Czech Republic,56.57,28.9,1.95743944636678,-0.20429,-0.34336,-0.37744,-0.10346,0.63713,11528.6899388368,2.04563059489058,0.07357,-0.25057,-0.2676,0.22491,0.43915
2003-04-01,DNK,DKK,Denmark,27.75,6.78,4.0929203539823,0.66379,0.373,0.30174,0.87462,2.42317,23308.0371654054,2.36415127060946,0.94234,0.35591,0.32508,1.21616,1.60378
2003-04-01,EGY,EGP,Egypt,8,5.92,1.35135135135135,-0.45067,-0.54668,-0.57021,-0.38106,0.13022,1839.47853,1.78362845625214,-0.14997,-0.40662,-0.4201,-0.03015,0.13949
2003-04-01,EUZ,EUR,Euro area,2.71,0.909090909,2.9810000002981,0.21179,0,-0.05191,0.36534,1.4932,22219.3812435707,2.33471335582705,0.43251,0,-0.02273,0.63445,0.92032
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,0.27813,0.05475,0,0.44009,1.62969,24876.167758794,2.4065544706013,0.46583,0.02326,0,0.67246,0.96499
2003-04-01,HKG,HKD,Hong Kong,11.5,7.8,1.47435897435897,-0.40067,-0.50541,-0.53109,-0.32472,0.2331,41261.7008608696,2.84962919921744,-0.41953,-0.59478,-0.604,-0.3377,-0.22185
2003-04-01,HUN,HUF,Hungary,490,224,2.1875,-0.11077,-0.26619,-0.30427,0.00191,0.82955,8605.47891661225,1.96658520025549,0.24797,-0.12882,-0.14863,0.42389,0.67294
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,-0.25118,-0.38205,-0.41413,-0.15629,0.54067,1426.83995559503,1.77247045954663,0.16601,-0.18603,-0.20454,0.33039,0.56308
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,-0.11247,-0.26758,-0.3056,0,0.82606,39236.8192181679,2.79487517450974,-0.12355,-0.38817,-0.40208,0,0.17491
2003-04-01,KOR,KRW,South Korea,3300,1220,2.70491803278689,0.09956,-0.09261,-0.13971,0.23889,1.2623,12723.8100523636,2.07794736582906,0.46045,0.01951,-0.00367,0.66633,0.95779
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,-0.1121,-0.26728,-0.30531,0.00041,0.82682,8194.69616869565,1.95547738622103,0.25318,-0.12518,-0.14507,0.42985,0.67993
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.46085,-0.55508,-0.57817,-0.39253,0.10928,8238.52535714286,1.95666255399408,-0.2395,-0.46911,-0.48118,-0.13229,0.01948
2003-04-01,NZL,NZD,New Zealand,3.95,1.78,2.21910112359551,-0.09793,-0.25558,-0.29422,0.01638,0.85598,21071.7895291139,2.30368178155494,0.08074,-0.24556,-0.26271,0.2331,0.44877
2003-04-01,PER,PEN,Peru,7.9,3.46,2.28323699421965,-0.07185,-0.23407,-0.27383,0.04576,0.90962,2188.3854835443,1.79306311137083,0.42864,-0.0027,-0.02537,0.63004,0.91514
2003-04-01,PHL,PHP,Philippines,65,52.5,1.23809523809524,-0.49671,-0.58467,-0.60623,-0.43293,0.0355,2051.22619015385,1.78935424109376,-0.22371,-0.45809,-0.47041,-0.11427,0.04065
2003-04-01,POL,PLN,Poland,6.3,3.89,1.61953727506427,-0.34165,-0.45671,-0.48491,-0.25823,0.35452,8319.19324761905,1.95884386255805,-0.0724,-0.35247,-0.36719,0.05836,0.24347
